SL. NO.,ASSETS TAG NO.,PART NO,No of Parts,Part Description,Part wt,runner wt,Ton,cycle time,Cummulative 2018,Jan-19,Cum Jan,Feb-19,Cum Feb,Mar-19,Cum Mar,Apr-19,Cum Apr,May-19,Cum May,Jun-19,Cum Jun,Jul-19,Cum Jul,Aug-19,Cum Aug,Sep-19,Cum Sep,Oct-19,Cum Oct,Nov-19,Cum Nov,Dec-19,Cum Dec,Cummulative 2019,Total Shots till Dec 2019
108,72001604-0002,41003027,138,pusher zodiac,56,1,,,0,0,0,0,0,0,0,0,0,0,0,16177,16177,13934,30111,12760,42871,16093,58964,,58964,,58964,,58964,58964,58964
109,72000788-0002,41000724    41000886,139,Lid bottle cg,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,0,0
110,72000625-0002,41000884,140,switch knob leaf,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,0,0
111,72000884-0002,41001550,141,Jar coupler 12mm new,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,0,0
112,72000885-0001,41001551,142,Motor coupler 12mm new,8,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,0,0
113,72000903-0001,,143,leg insert top,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,0,0
114,72000904-0001,,144,leg insert bottom,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,0,0
115,72000957-0002,41000249,145,Nylon Bush,1,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,0,0
116,72000489-0002,,146,Fan axial,,,,,0,0,0,0,0,0,0,0,0,8000,8000,0,8000,0,8000,,8000,,8000,,8000,,8000,,8000,8000,8000
117,72000233-0002,41000794,147,Lid C.G 0.33 Ltr,32,4,120,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,0,0
,,41002296,148,Lid 0.33 Ltr Spice with Gasket,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,0,0
,,41001919,149,Lid 0.33 Ltr Neo,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,0,0
,,41002466,150,Lid 0.33 Ltr Crown,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,0,0
,,41002739,151,Lid 0.2 Ltr Blubeery with Gasket,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,0,0
118,72001627-0003,41002459,152,housing crown,49,2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,18190,18190,24025,42215,21040,63255,,63255,,63255,,63255,63255,63255
119,72000611-0002,41002615,153,dome lid clear san,10,1.7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,180,1180,,1180,,1180,,1180,1180,1180
120,72000617-0002,42000002,154,base C and M,49,5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2070,2070,,2070,,2070,,2070,,2070,,2070,2070,2070
121,72000780-0002,,155,LID 0.33,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,0,0
122,72001511-0003,41000096,156,HOUSING ABS BIG BLK,49.82,1.58,,,0,0,0,0,0,0,0,0,0,0,0,14400,14400,21366,35766,24627,60393,15993,76386,,76386,,76386,,76386,76386,76386
123,,41000531,157,HOUSING ABS BIG BLUE,49.82,1.58,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,0,0
124,,41000828,158,HOUSING ABS BIG GREEN,49.82,1.58,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,0,0
125,72000635-0001,41000322,159,housing abs 0.5 blk,65.65,2.15,,,0,0,0,0,0,0,0,0,0,0,0,0,0,300,300,15985,16285,17695,33980,,33980,,33980,,33980,33980,33980
126,,41000780,160,housing abs 0.5 blue,65.65,2.15,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,0,0
127,72001782-0001,41002949,161,housing HL,38,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,320,320,20025,20345,14235,34580,,34580,,34580,,34580,34580,34580
128,72001459-0002,41000114,162,Motor fixing stand,110,3,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15934,15934,,15934,,15934,,15934,15934,15934
129,72001412-0003,41001940,163,Filter - S.E (Interlock),113.5,5,150,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30808,30808,,,,,,,,
,,41001325,164,Filter - S.E Steele,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
