SL. NO.,ASSETS TAG NO.,PART NO,No of Parts,Part Description,Part wt,runner wt,Ton,cycle time,Cummulative 2018,Jan-19,Cum Jan,Feb-19,Cum Feb,Mar-19,Cum Mar,Apr-19,Cum Apr,May-19,Cum May,Jun-19,Cum Jun,Jul-19,Cum Jul,Aug-19,Cum Aug,Sep-19,Cum Sep,Oct-19,Cum Oct,Nov-19,Cum Nov,Dec-19,Cum Dec,Cummulative 2019,Total Shots till Dec 2019
26,72000865-0001,41000677,32,Dome 1.0Ltr Silver,44,2,120,50,263335,420,420,4509,4929,4804,9733,3800,13533,5200,18733,,18733,3150,21883,790,22673,665,23338,,23338,,23338,,23338,23338,286673
,,41001195,33,Dome 1.0Ltr Silver with Gasket,,,,,,,0,,,,,,,,,,,,,,,,0,,0,,0,,0,0,0
27,72000809-0001,41000815,34,Dome 1.0L Nitro,43,1,120,65,30861,0,0,1072,1072,0,1072,0,1072,0,1072,0,1072,0,1072,1485,2557,460,3017,,3017,,3017,,3017,3017,33878
,,41002710,35,Dome 1Ltr - Splendor,,,,,,,0,,,,,,,,,,,,,,,,0,,0,,0,,0,0,0
28,72001442-0002,41002463,36,Dome 1.25 Ltr - Crown,49,2,120,40,92677,1841,1841,10552,12393,13400,25793,8800,34593,5560,40153,5150,45303,7077,52380,14464,66844,9688,76532,,76532,,76532,,76532,76532,169209
29,72000315-0001,41000874,37,Dome P.P.C.P 1.5 Ltr - Preethi,45,2,100,55,91675,0,0,3696,3696,2400,6096,0,6096,0,6096,3090,9186,3127,12313,3920,16233,2220,18453,,18453,,18453,,18453,18453,110128
30,72000931-0001,41001611,38,Dome 1.5 Royale,99.5,5,150,55,122615,2358,2358,2858,5216,5400,10616,6900,17516,6100,23616,3260,26876,5380,32256,2265,34521,5540,40061,,40061,,40061,,40061,40061,162676
31,72001299-0001,41000795,39,Dome Gasket 0.33 Ltr (LDPE),6,1.5,150,45,61813,0,0,0,0,7000,7000,2200,9200,4100,13300,1025,14325,,14325,2113,16438,50,16488,,16488,,16488,,16488,16488,78301
32,72000326-0001,41000748,40,Dome Gasket 0.5Ltr (LDPE),5,1.5,150,45,19002,0,0,0,0,0,0,0,0,500,500,,500,638,1138,,1138,100,1238,,1238,,1238,,1238,1238,20240
33,72000287-0001,41000747,41,Dome Gasket 1.75Ltr(LDPE),8,1.5,150,45,60926,0,0,0,0,1200,1200,0,1200,1000,2200,600,2800,2010,4810,2575,7385,2840,10225,,10225,,10225,,10225,10225,71151
34,72001490-0002,41900063,42,Blade coupler zodiac,24.5,2.2,150,58,107529,11939,11939,8338,20277,13800,34077,13600,47677,12100,59777,12105,71882,20153,92035,5995,98030,12988,111018,,111018,,111018,,111018,111018,218547
38,72001385-0002,,43,,,,,,1030,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,1030
39,72000615-0002,41001940,44,Filter - S.E (Interlock),113.5,5,150,87,331424,6868,6868,22032,28900,23200,52100,22500,74600,21800,96400,11495,107895,32795,140690,23863,164553,,164553,,164553,,164553,,164553,164553,495977
,,41001325,45,Filter - S.E Steele,,,,,,,0,,,,,,,,,,0,,,,,,,,0,,0,,0,0,0
40,72000201-0002,42000050,46,Filter Body Big New,55.5,2.5,80,75,62658,772,772,0,772,0,772,2200,0,2200,2200,,2200,3300,5500,3755,9255,,9255,,9255,,9255,,9255,12227,74885
,,42000113,47,Filter Body Big Black,,,,,,,0,,,,,,,,,,,,,,,,,,0,,0,,0,0,0
41,72000103-0002,42000017,48,Filter Body Small,15,2,80,49,50492,2364,2364,0,2364,2500,4864,3100,7964,1800,9764,,9764,5410,15174,3035,18209,,18209,,18209,,18209,,18209,18209,68701
,,42000114,49,Filter Small Black,,,,,,,0,,,,,,,,,,,,,,,,,,0,,0,,0,0,0
42,72001602-0002,41003019,50,Filter taurus,106.2,4.3,180,74,132474,8745,8745,9236,17981,12100,30081,12510,42591,9100,51691,18190,69881,15480,85361,6490,91851,9290,101141,,101141,,101141,,101141,101141,233615
43,72000776-0002,41000918,51,Flexilid 0.5 Ltr - White,43,1,120,60,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0
,,41000746,52,Flexilid 0.5 Ltr - Leaf,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,0,0
44,72001540-0001,41000918,53,Flexilid 0.5 Ltr - White,43,1,120,60,196672,531,531,4295,4826,3253,8079,2600,10679,3600,14279,500,14779,,14779,5475,20254,,20254,,20254,,20254,,20254,20254,216926
,,41000746,54,Flexilid 0.5 Ltr - Leaf,,,,,,,0,,,,,,,,,,,,,,,,,,0,,0,,0,0,0
45,72000102-0001,41000745,55,Flexilid 1.75Ltr - Blue,90,7,150,80,119148,1545,1545,550,2095,1614,3709,1050,4759,1200,5959,1370,7329,,7329,1550,8879,2095,10974,,10974,,10974,,10974,10974,130122
,,41000843,56,Flexilid 1.75Ltr - Green,,,,,,,0,,,,,,,,,,,,,,,,,,0,,0,,0,0,0
,,41000917,57,Flexilid 1.75Ltr - Preett (White),,,,,,,0,,,,,,,,,,,,,,,,,,0,,0,,0,0,0
46,,41000766,58,Flexilid 1.5 ltr,69,4,,,65419,0,0,6735,6735,8800,15535,5200,20735,3600,24335,9076,33411,7739,41150,9224,50374,11482,61856,,61856,,61856,,61856,61856,127275
47,72000451-0002,41000110,59,Lid G & S,39.62,3.13,120,50,85607,5318,5318,2923,8241,8415,16656,5100,21756,8400,30156,2875,33031,7345,40376,2840,43216,5615,48831,,48831,,48831,,48831,48831,134438
48,72000636-0002,41001430,60,Housing - ABS Small Lavender,46,1,120,48,225,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,0,225
49,72000661-0001,41001777,61,Housing Small XPRO,100,7,250,68,187628,4667,4667,0,4667,234,4901,5750,10651,6800,17451,5872,23323,4585,27908,4315,32223,200,32423,,32423,,32423,,32423,32423,220051
50,72001618-0002,,62,Housing big aries,54.2,3,120,54,183582,3575,3575,21381,24956,21400,46356,22300,68656,15900,84556,8962,93518,27374,120892,26225,147117,15560,162677,,,,,,,,
,,41002963,63,Housing big zodiac,54.2,3,120,54,,,,,,,,,,,,,,,,,,,,,162677,,162677,,162677,162677,346259
51,72000904-0001,leg insert top,64,Leg insert bottom,3,2,,,41359,7296,7296,5404,12700,4500,17200,7500,24700,8500,33200,16995,50195,7180,57375,,57375,5515,62890,,62890,,62890,,62890,62890,104249
52,72000903-0001,leg insertbottom,65,Leg insert top,2.5,0.5,,,41127,6615,6615,1920,8535,4800,13335,7500,20835,8500,29335,10325,39660,9175,48835,1225,50060,5565,55625,,55625,,55625,,55625,55625,96752
54,72001489-0002,41900035,66,Interlock rod zodiac,5.2,2.1,100,48,56282,0,0,6557,6557,7043,13600,5740,19340,6302,25642,9885,35527,,35527,9413,44940,9885,54825,,54825,,54825,,54825,54825,111107
55,72000884-0002,41001550,67,Jar Coupler 4Teeth 12MM,8,1,40,40,1854281,1763,1763,84588,86351,35500,121851,12500,134351,17000,151351,33661,185012,15000,200012,6000,206012,2000,208012,,208012,,208012,,208012,208012,2062293
56,72000070-0001,41000402,68,Jar Coupler 4Teeth RH - Thread,7,0.75,40,60,64498,1076,1076,2236,3312,775,4087,750,4837,0,4837,,4837,1750,6587,2640,9227,,9227,,9227,,9227,,9227,9227,73725
57,72001591-0002,41002880,69,Jar Coupler 4Teeth 12MM (I.G),7.2,0.6,80,47,743487,31411,31411,20291,51702,126700,178402,36000,214402,35500,249902,89917,339819,136000,475819,18500,494319,34713,529032,,529032,,529032,,529032,529032,1272520
58,72001591-0001,41002880,70,Jar Coupler 4Teeth 12MM (I.G),7.2,0.6,80,47,768015,0,0,44449,44449,80800,125249,60000,185249,64000,249249,20872,270121,,270121,47614,317735,30300,348035,,348035,,348035,,348035,348035,1116050
59,72001731-0001,41003584,71,Jar coupler Chakra,7.2,0.6,80,55,1124,0,0,0,0,0,0,,0,0,0,,0,385,385,104,489,,489,,489,,489,,489,489,1613
,72001601-0002,41003013,72,Juicer cutter holder taraus,24,6.25,120,60,51631,5875,5875,7420,13295,4200,17495,5500,22995,5240,28235,8919,37154,8994,46148,,46148,6220,52368,,52368,,52368,,52368,52368,103999
61,72001614-0002,41003018,73,Lock pin juicer taurus,0.9,0.5,120,60,7212,0,0,1041,1041,1450,2491,1375,3866,1725,5591,3340,8931,,8931,2788,11719,2513,14232,,14232,,14232,,14232,14232,21444
62,72001691-0001,41003512 & 41003564,74,Led Ring Mystic And Led Ring Cosmo,4.1,14.3,120,60,18553,0,0,487,487,950,1437,900,2337,1000,3337,2113,5450,,5450,,5450,,5450,,5450,,5450,,5450,5450,24003
63,72001596-0002,41003005,75,Led ring zodiac,1.3,8.43,100,38,"15,970",0,0,3334,3334,3480,6814,2800,9614,3800,13414,4888,18302,3925,22227,2695,24922,,24922,,24922,,24922,,24922,24922,40892
64,72000462-0002,41000951,76,Lever cap  Nitro,1,1,50,40,"17,651",0,0,0,0,1521,1521,1000,2521,1200,3721,,3721,,3721,5460,9181,,9181,,9181,,9181,,9181,9181,26832
65,72000780-0002,,77,,32,4,,,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0
66,72000233-0002,41000794,78,Lid C.G 0.33 Ltr,32,4,120,60,812248,20509,20509,15684,36193,27800,63993,18400,82393,12680,95073,3860,98933,19925,118858,42288,161146,23190,184336,,184336,,184336,,184336,184336,996584
,,41002296,79,Lid 0.33 Ltr Spice with Gasket,,,,,,,0,,,,,,,,,,,,,,,,,,0,,0,,0,0,0
,,41001919,80,Lid 0.33 Ltr Neo,,,,,,,0,,,,,,,,,,,,,,,,,,0,,0,,0,0,0
,,41002466,81,Lid 0.33 Ltr Crown,,,,,,,0,,,,,,,,,,,,,,,,,,0,,0,,0,0,0
,,41002739,82,Lid 0.2 Ltr Blubeery with Gasket,,,,,,,0,,,,,,,,,,,,,,,,,,0,,0,,0,0,0
67,72001413-0001,,83,,0,0,,,0,,0,0,0,,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0
68,72000187-0001,42000002,84,P.P. Base - C.M,49,5,120,49,19737,0,0,1242,1242,0,1242,1750,2992,0,2992,1190,4182,2070,6252,,6252,2130,8382,,8382,,8382,,8382,8382,28119
69,72001696-0001,41003509,85,Trigger Cosmo,7.5,2.1,100,45,4458,0,0,0,0,0,0,0,0,2500,2500,,2500,2575,5075,,5075,1500,6575,,6575,,6575,,6575,6575,11033
70,72001154-0001,41002140,86,Motor Coupler XPRO A-En,13,1.5,80,80,40443,0,0,0,0,2875,2875,6800,9675,2400,12075,1290,13365,,13365,1625,14990,1350,16340,,16340,,16340,,16340,16340,56783
71,72000885-0002,41001551,87,Motor Coupler 4Teeth 12MM,8,1,80,80,103322,10885,10885,12239,23124,17400,40524,32000,72524,14000,86524,,86524,47269,133793,20718,154511,18158,172669,,172669,,172669,,172669,172669,275991
72,72001590-0001,41003496,88,Motor Coupler 4Teeth 12MM (I.G),8,1,80,47,382995,18566,18566,12597,31163,30500,61663,30140,91803,,91803,,91803,24073,115876,22485,138361,17500,155861,,155861,,155861,,155861,155861,538856
73,72001320-0001,41001551,89,Motor Coupler XPRO -Hand Mould,12,2,80,60,4914,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,0,4914
74,72000078-0001,41000832,90,Motor Coupler (PACP),10.5,2.5,80,48,1813,0,0,0,0,0,0,,0,,0,,0,,0,,0,3750,3750,,3750,,3750,,3750,3750,5563
75,72000240-0001,41001825,91,Flexilid Big - Magic Blue,78,1,120,55,167123,0,0,680,680,0,680,0,680,,680,,680,,680,1065,1745,,1745,,1745,,1745,,1745,1745,168868
,,41001830,92,Flexilid Big - Magic White,,,,,,,0,,,,,,,,,,,,,,,,,,0,,0,,0,0,0
76,72000022-0002,41000249,93,Nylon Bush,1,1,40,30,379607,12030,12030,13386,25416,16200,41616,27200,68816,12800,81616,14711,96327,23914,120241,4069,124310,20318,144628,,144628,,144628,,144628,144628,524235
77,72000957-0002,41001911,94,Nylon Bush Big,1,1,40,40,196419,3088,3088,5755,8843,5200,14043,6750,20793,3650,24443,,24443,8123,32566,2828,35394,7059,42453,,42453,,42453,,42453,42453,238872
78,72001324-0002,41000936,95,Planetary Gear C & S,4.15,1.8,80,42,82162,2873,2873,7065,9938,8100,18038,9000,27038,9050,36088,9685,45773,11325,57098,16305,73403,9345,82748,,82748,,82748,,82748,82748,164910
